P48016	ATH1
P01097	INH1
P40416	ATM1
P38110	TEL1
P13587	ENA1
Q01896	ENA2
Q12691	ENA5
P32907	ATO2
Q12359	ATO3
P18496	ATP10
P32453	ATP11
P22135	ATP12
Q12349	ATP14
P81450	ATP18
P81451	ATP19
P50273	ATP22
P53722	ATP23
Q03153	ATP25
P21306	ATP15
P00854	ATP6
P30902	ATP7
P00856	ATP8
P61829	OLI1
P07251	ATP1
P00830	ATP2
Q12165	ATP16
P05626	ATP4
P38077	ATP3
P81449	TIM11
Q06405	ATP17
Q12233	ATP20
P09457	ATP5
P13090	ATR1
P38111	MEC1
P31386	ATS1
P38360	PCA1
P38995	CCC2
P38636	ATX1
Q12067	ATX2
P32450	AUA1
P36107	AUR1
Q08409	AUS1
Q12500	AVL9
Q08236	AVO1
Q04749	AVO2
P47082	AVT1
P39981	AVT2
P36062	AVT3
P50944	AVT4
P38176	AVT5
P40074	AVT6
P40501	AVT7
P40851	AXL1
P38928	AXL2
P40471	AYR1
Q12226	AYT1
P41696	AZF1
P50080	AZR1
Q12128	BAG7
P38084	BAP2
P41815	BAP3
P12630	BAR1
P22035	BAS1
P47068	BBC1
Q12365	BBP1
Q12186	MSL5
P38891	BAT1
P47176	BAT2
P38772	BCD1
Q05029	BCH1
P36122	BCH2
Q01389	BCK1
P33306	BCK2
Q06338	BCP1
P32839	BCS1
P35817	BDF1
Q07442	BDF2
P39714	BDH1
P39713	BDH2
Q08347	BDS1
Q02948	VPS30
P29366	BEM1
P39960	BEM2
P32873	BEM3
P39011	BEM4
P22804	BET1
P36149	BET3
Q03630	BET5
P47113	BFA1
P38934	BFR1
Q06631	BFR2
P15703	BGL2
P38813	BIG1
P11709	BIK1
P40013	BIM1
P53744	BIO5
P50277	BIO3
P32451	BIO2
P53630	BIO4
P16474	KAR2
P47134	BIR1
P38346	BIT2
P47041	BIT61
Q06071	BLS1
Q06333	CNL1
Q01532	LAP3
P35727	BLI1
P43583	BLM10
P29311	BMH1
P34730	BMH2
Q08965	BMS1
P38278	BMT2
P40493	BMT5
Q12291	BMT6
P47039	BNA3
P41832	BNI1
P53858	BNI4
P53890	BNI5
P40450	BNR1
P50084	BNS1
P38041	BOI1
P39969	BOI2
Q3E793	BOL1
P53082	BOL2
P39724	BOL3
Q06150	BOP2
P53958	BOP3
P53838	BOR1
P25385	BOS1
P25356	BPH1
P48445	BPL1
P14772	BPT1
Q07457	BRE1
P43132	BRE2
Q07660	BRE4
P53741	BRE5
P38770	BRL1
P48582	BRO1
P53194	BRP1
Q99177	BRR1
P32639	BRR2
P53062	BRR6
Q08235	BRX1
Q12140	BSC1
Q05611	BSC2
O13558	BSC3
P53841	BSC4
P53755	BSC5
Q08280	BSC6
P38356	BSD2
Q06604	BSP1
P43571	BST1
P47040	YHC3
P53286	BTN2
P41695	BUB1
P26448	BUB2
P26449	BUB3
P27637	BUD14
P39988	BUD16
P53727	BUD17
O94143	BUD19
Q08004	BUD20
Q08492	BUD21
Q04347	BUD22
P25627	BUD23
P85052	BUD25
Q03783	BUD26
P43573	BUD27
Q07992	BUD28
P33314	BUD2
Q12064	BUD30
P25337	BUD31
P53323	BUD32
P25558	BUD3
P47136	BUD4
P25300	BUD5
P41697	BUD6
Q08754	BUD7
P41698	BUD8
P53226	BUD9
Q12191	BUG1
P48524	BUL1
Q03758	BUL2
P23293	SGV1
Q05949	BUR2
P48558	BXI1
P36106	BYE1
P40580	IRC24
P38822	BZZ1
P07245	ADE3
P09440	MIS1
P53836	CAF120
P36076	CAB3
Q03941	CAB5
Q04199	CAC2
P80235	YAT1
P32796	CAT2
P43569	CAF16
P47158	IBA57
P12962	CAF20
P53829	CAF40
P36130	CAF4
P39101	CAJ1
P43568	CAK1
P06787	CMD1
P27825	CNE1
P04817	CAN1
P25296	CNB1
P53615	NCE103
P28495	CAP1
P13517	CAP2
P17555	SRV2
P07258	CPA1
P03965	CPA2
P07267	PEP4
P34237	COY1
P39113	CAT8
P15202	CTA1
P06115	CTT1
P53223	CAX4
P17106	CBF1
P32504	CBF2
P40969	CEP3
P35203	CTF13
P33322	CBF5
P53894	CBK1
P07252	CBP1
P03874	CBP2
P21560	CBP3
P37267	CBP4
P07253	CBP6
P27614	CPS1
P00729	PRC1
P14066	CBS1
P14905	CBS2
P32582	CYS4
P36038	CBT1
P21269	CCA1
P47818	CCC1
Q03702	CCE1
P50077	CCH1
P06182	CYC3
P37366	CCL1
P48237	CCM1
P00431	CCP1
P31384	CCR4
P40202	CCS1
Q12127	CCW12
O13547	CCW14
Q7LHD1	CCW22
P38273	CCZ1
Q05791	CDC123
Q06702	CDA1
Q06703	CDA2
P25342	CDC10
P32458	CDC11
P32468	CDC12
P32797	CDC13
Q00684	CDC14
P27636	CDC15
P09798	CDC16
P40986	CDC1
P26309	CDC20
P16522	CDC23
P11433	CDC24
P04821	CDC25
P14724	CDC26
P38042	CDC27
P06704	CDC31
P06101	CDC37
P32457	CDC3
P19073	CDC42
Q08032	CDC45
P25694	CDC48
P07834	CDC4
P25656	CDC50
Q12018	CDC53
P32562	CDC5
P09119	CDC6
Q06697	CDC73
P06243	CDC7
P41733	GAB1
Q06549	CDD1
P53197	CDH1
P00546	CDC28
P38221	CDS1
P47112	TAH11
Q03654	CEF1
P39525	CEM1
P36012	CSE4
P35201	MIF2
Q12262	MCM16
Q12748	CTF3
P47167	MCM22
P38265	IML3
P38907	CHL4
Q06675	MCM21
Q02732	CTF19
P53298	OKP1
Q3E835	MHF1
P43618	CNN1
P38313	AME1
Q2V2P8	WIP1
Q3E829	MHF2
O13297	CET1
Q12453	CEX1
P53280	CAF130
P40558	CFD1
Q06632	CFT1
Q12102	CFT2
P20437	CLN1
Q03705	CGI121
P20438	CLN2
P13365	CLN3
P24868	CLB1
P24869	CLB2
P24870	CLB3
P24871	CLB4
P53188	CGR1
P30283	CLB5
P32943	CLB6
P38910	HSP10
P43634	CHA4
P32656	GCG1
P32657	CHD1
Q06350	CTS2
P29029	CTS1
P38147	CHK1
P22516	CHL1
P32178	ARO7
P05374	CHO2
P08004	CHS1
P14180	CHS2
P29465	CHS3
Q12114	CHS5
P40955	CHS6
P38843	CHS7
P40019	CHZ1
Q05583	CIA1
P38779	CIC1
Q01649	CIK1
P40987	CIN1
P39110	CIN4
P27895	CIN8
Q06139	CIS1
P47001	CIS3
P00890	CIT1
P08679	CIT2
P43635	CIT3
P20486	CKS1
P48562	CLA4
P17891	CLC1
P53264	CLD1
Q12309	CLF1
P35190	CLG1
P22137	CHC1
Q08685	CLP1
P38323	MCX1
Q03690	CLU1
D6W196	SAL1
Q3E7A9	CMC4
Q12510	CMR1
Q12145	CMR3
Q07897	CMS1
Q06156	YCS4
P38170	BRN1
Q06680	YCG1
P53865	CNM67
P33313	CNS1
P40452	COA1
Q3E823	COA2
Q3E7B2	COA3
Q05809	COA4
Q3E846	COA6
P53332	CAB4
Q03048	COF1
P53079	COG1
P53271	COG2
P40094	COG3
Q06096	COG4
P53951	COG5
P53959	COG6
P53195	COG7
Q04632	COG8
P46946	SAE2
P53622	COP1
P41811	SEC27
P41810	SEC26
P43621	RET2
P40509	SEC28
P32074	SEC21
P53600	RET3
Q08058	COQ10
Q05892	COQ11
P18900	COQ1
P32378	COQ2
P27680	COQ3
O13525	COQ4
P49017	COQ5
P53318	COQ6
P41735	CAT5
P27697	COQ8
Q05779	COQ9
Q06440	CRN1
P52924	COS10
P53053	COS12
P53822	COS1
P0CX12	COS2
P0CX13	COS3
P43542	COS4
P47187	COS5
P53344	COS6
Q07788	COS7
P38723	COS8
P36034	COS9
P32798	COT1
P21592	COX10
P19516	COX11
Q01519	COX12
P32799	COX13
P39103	COX14
P40086	COX15
P47081	COX16
Q12287	COX17
P53239	COX18
Q3E731	COX19
P00401	COX1
Q04935	COX20
P38824	COX23
P32344	QRI5
Q2V2P9	COX26
P00410	COX2
P00420	COX3
P04037	COX4
P00424	COX5A
P00425	COX5B
P00427	COX6
P10174	COX7
P04039	COX8
P07255	COX9
P36064	CMC1
Q3E7A4	CMC2
P10614	ERG11
P21595	DIT2
P53314	CPD1
P17898	CPT1
P14306	TFS1
Q12289	CRC1
Q07560	CRD1
Q04930	CRF1
P38892	CRG1
P53301	CRH1
P32623	UTR2
P38845	CRP1
Q05790	CRR1
P41902	CRS5
Q08226	CRT10
P53968	CRZ1
P38308	COS111
Q06538	CSC1
P33307	CSE1
Q12150	CSF1
P35206	CSG2
P38287	CSH1
Q04368	CSI1
Q08054	CSI2
P15790	CKA1
P19454	CKA2
P43639	CKB1
P38930	CKB2
P53859	CSL4
P25651	CSM1
P40465	CSM2
Q04659	CSM3
Q08955	CSM4
Q12348	RRI2
P40512	PCI8
P47130	CSN12
Q12468	RRI1
Q03981	CSN9
Q06705	CSR1
Q12734	CSR2
P40442	CSS1
P43600	CSS2
Q08300	CSS3
P38226	CST26
Q06032	CST9
P49956	CTF18
Q01454	CTF4
P38877	CTF8
P47976	CTH1
P47977	TIS11
Q08923	CTI6
Q03957	CTK1
P46962	CTK2
P46963	CTK3
Q03220	CTL1
P38818	CTM1
P25616	CTO1
P49573	CTR1
P38865	CTR2
Q06686	CTR3
P25355	CTR86
P89105	CTR9
P53088	NCS6
P53923	NCS2
Q08977	CUB1
P38428	CUE1
P36075	CUE2
P53137	CUE3
Q04201	CUE4
Q08412	CUE5
P53202	CUL3
P47050	RTT101
P15315	CUP2
P41817	CUP9
Q06469	CUR1
Q02554	CUS1
P53830	CUS2
P53899	CUZ1
Q03772	CWC15
Q03375	CWC21
P53333	CWC22
P52868	CWC23
P53769	CWC24
P53854	CWC25
P46947	BUD13
Q02770	CWC27
Q12046	CWC2
P25603	CWH36
P53008	CWH41
P25618	CWH43
P28319	CWP1
P43497	CWP2
P07143	CYT1
P08678	CYR1
P00175	CYB2
P40312	CYB5
P00163	COB
P00044	CYC1
P38909	CYC2
P00045	CYC7
P14922	CYC8
Q05080	HOF1
Q07533	CYK3
P32898	CYM1
P47103	CPR7
P53728	CPR8
P23285	CPR2
P25719	CPR3
P35176	CPR5
P14832	CPR1
P25334	CPR4
P31373	CYS3
P06106	MET17
Q00873	CYT2
Q12248	DAD1
P36162	DAD2
P69850	DAD3
P69851	DAD4
P54838	DAK1
P43550	DAK2
Q04895	DAL4
P15365	DAL5
P26343	DAL80
P21657	DAL81
P21705	DAL82
P53267	DAM1
P47178	DAN1
P47179	DAN4
Q12091	DAP1
P18962	DAP2
P47005	DAS1
Q12084	DAS2
P13483	DAT1
P32328	DBF20
P22204	DBF2
P32325	DBF4
Q12389	DBP10
P24784	DBP1
P24783	DBP2
P20447	DBP3
P20448	HCA4
P20449	DBP5
P53734	DBP6
P36120	DBP7
P38719	DBP8
Q06218	DBP9
P24309	DBR1
P33750	SOF1
P21182	SPE2
P25559	DCC1
Q04792	GAD1
P32460	DCG1
Q08558	DCI1
Q06409	DCK1
Q12395	DCN1
P08432	SPE1
Q12517	DCP1
P53550	DCP2
Q06151	DCS1
Q05924	DCR2
Q12123	DCS2
P06773	DCD1
P32347	HEM12
P43595	DCV1
P36091	DCW1
Q08949	DDC1
P40087	DDI1
P0CH63	DDI2
P0CH64	DDI3
Q99321	DDP1
P89113	DDR2
P18899	DDR48
P06634	DED1
P35732	DEF1
P47089	TMA22
P31385	DEP1
P38307	DER1
Q99288	DET1
P40526	DFG10
Q99234	DFG16
Q05031	DFG5
Q12743	DFM1
Q08650	DGA1
Q12382	DGK1
Q3E808	DGR1
P32330	DGR2
P13663	HOM2
P33327	GDH2
P07262	GDH1
P39708	GDH3
P39517	DHH1
P31116	HOM6
Q04217	ECM16
P36009	DHR2
P37298	SDH4
P35497	SOR1
Q07786	SOR2
P38791	DYS1
P54005	DIA1
Q08496	DIA2
Q06819	DIB1
Q06143	DIC1
P69771	DID2
P36108	DID4
O13577	DIF1
Q03063	DIG1
Q03373	DIG2
P41819	DIM1
Q12086	DIN7
P53388	DIP5
P21623	DIT1
P40564	DJP1
P32891	DLD1
P46681	DLD2
P39976	DLD3
P09624	LPD1
P40366	DLS1
Q04216	DLT1
P38823	DMA1
P53924	DMA2
P25453	DMC1
Q03652	DML1
P38859	DNA2
P04819	CDC9
Q08387	DNL4
P54861	DNM1
P38821	APE4
P40318	SSM4
P36037	DOA1
P38774	DOG1
P38773	DOG2
P47120	LIA1
P33309	DOM34
Q05610	DON1
Q03921	DOP1
P54858	DOS2
Q04089	DOT1
P40553	DOT5
P40059	DOT6
P47027	DPB11
P24482	DPB2
P27344	DPB3
Q04603	DPB4
P40487	DPH1
P32461	DPH2
Q3E840	KTI11
P47138	JJJ3
P32469	DPH5
Q12429	DPH6
P38332	RRT2
P14020	DPM1
P25615	POL4
P39985	POL5
P38121	POL12
P13382	POL1
P46957	POL31
P47110	POL32
P15436	POL3
P21951	POL2
P15801	MIP1
P14284	REV3
Q05521	DPP1
P36152	DRE2
P53255	DRN1
P32892	DRS1
P47013	LCB3
P23501	YSR3
Q08232	DSC2
Q12015	DSC3
P53095	DSD1
P40077	DSE1
P38844	DSE2
Q08729	DSE3
P0CX08	DSF1
P38213	DSF2
P48510	DSK2
P53847	DSL1
P40568	DSN1
P39112	DSS1
P32601	DSS4
Q07648	DTD1
P38125	DTR1
Q99247	DUF1
P43616	DUG1
P38149	DUG2
P53871	DUG3
P39009	DUN1
P53168	DUO1
P32528	DUR1,2
P33413	DUR3
P53759	DUS1
P53720	SMM1
Q06053	DUS3
Q06063	DUS4
P33317	DUT1
Q06349	DXO1
P53063	RAI1
P36022	DYN1
Q02647	DYN2
Q04949	DYN3
P07807	DFR1
Q06337	EAF1
Q12432	EAF3
P39995	EAF5
P47128	EAF6
P53911	EAF7
P36041	EAP1
Q03212	EAR1
P53208	EAT1
P36049	EBP2
Q03466	EBS1
Q05871	ECI1
P48235	ECL1
Q04110	ECM11
O13529	ECM12
P38195	ECM13
P38836	ECM14
P35195	ECM15
Q04623	ECM18
Q06011	ECM19
P39715	ECM1
P38167	ECM21
Q05958	ECM22
Q02710	ECM23
P32525	ECM25
P47144	ECM27
P38737	ECM29
Q06673	ECM30
P32644	ECM32
P38248	ECM33
P38728	ECM34
Q05902	ECM38
Q99252	ECM3
Q03214	ECM5
Q06200	ECM7
P38246	ECM8
Q02202	ECM9
P43605	ECO1
P33412	ECT1
P53080	EDC1
P40023	EDC2
P39998	EDC3
P34216	EDE1
P38073	EDS1
P02994	TEF1
P02994	TEF2
P32471	EFB1
P29547	CAM1
P36008	TEF4
P32324	EFT1
P32324	EFT2
P16521	YEF3
P53978	HEF3
Q3E705	EFG1
P25039	MEF1
P38732	EFM1
P38347	EFM2
P47163	EFM3
P40516	EFM4
P53200	EFM5
P53970	EFM6
Q05874	NNT1
Q03653	EFR3
