UniProtID,GeneName
A2A699,Fam171a2
A2A699,Fam171a2
A2A699,Fam171a2
A2A7S8,Kiaa1522
A2A7S8,Kiaa1522
A2A7S8,Kiaa1522
A2A7S8,Kiaa1522
A2A7S8,Kiaa1522
A2A7S8,Kiaa1522
A2A7S8,Kiaa1522
A2A7S8,Kiaa1522
A2A7S8,Kiaa1522
A2A7S8,Kiaa1522
A2A7S8,Kiaa1522
A2A7S8,Kiaa1522
A2A863,Itgb4
A2A863,Itgb4
A2AAE1,Kiaa1109
A2AAE1,Kiaa1109
A2AAE1,Kiaa1109
A2AAE1,Kiaa1109
A2AAE1,Kiaa1109
A2AAE1,Kiaa1109
A2AAY5,Sh3pxd2b
A2AAY5,Sh3pxd2b
A2AEV7,Ccdc120
A2AHC3,Camsap1
A2AI08,Tprn
A2AJ88,Pnpla7
A2AKB9,Dcaf10
A2ALU4,Shroom2
